"","state","year","population"
"507","Connecticut","2010",3577073
"508","Delaware","2010",899769
"509","Florida","2010",18843326
"510","Georgia","2010",9712587
"511","Hawaii","2010",1363621
"512","Idaho","2010",1571450
"513","Illinois","2010",12843166
"514","Indiana","2010",6490621
"515","Iowa","2010",3049883
"516","Kansas","2010",2859169
"517","Kentucky","2010",4346266
"518","Louisiana","2010",4544228
"519","Maine","2010",1327567
"520","Maryland","2010",5785982
"521","Massachusetts","2010",6557254
"522","Michigan","2010",9877574
"523","Minnesota","2010",5310584
"524","Mississippi","2010",2970036
"525","Missouri","2010",5996231
"526","Montana","2010",990898
"527","Nebraska","2010",1830429
"528","Nevada","2010",2704642
"529","New Hampshire","2010",1316759
"530","New Jersey","2010",8801624
"531","New Mexico","2010",2065932
"532","New York","2010",19392283
"533","North Carolina","2010",9561558
"534","North Dakota","2010",674499
"535","Ohio","2010",11536182
"536","Oklahoma","2010",3761702
"537","Oregon","2010",3838957
"538","Pennsylvania","2010",12709630
"539","Rhode Island","2010",1052886
"540","South Carolina","2010",4636312
"541","South Dakota","2010",816463
"542","Tennessee","2010",6356897
"543","Texas","2010",25257114
"544","Utah","2010",2776469
"545","Vermont","2010",625960
"546","Virginia","2010",8024617
"547","Washington","2010",6744496
"548","West Virginia","2010",1853973
"549","Wisconsin","2010",5691047
"550","Wyoming","2010",564460
